2026-04-26T00:31:25.818138425Z [info] INFO:     100.64.0.11:19358 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T01:14:07.717897721Z [info] INFO:     100.64.0.30:33164 - "GET / HTTP/1.1" 200 OK
2026-04-26T01:36:38.377010694Z [info] INFO:     100.64.0.8:26826 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T02:40:41.673421906Z [info] INFO:     100.64.0.8:47112 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T03:47:35.182884224Z [info] INFO:     100.64.0.14:47194 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T04:02:06.094802028Z [info] INFO:     100.64.0.28:36306 - "GET / HTTP/1.1" 200 OK
2026-04-26T04:46:18.020723411Z [info] INFO:     100.64.0.20:40976 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T05:49:31.110294921Z [info] INFO:     100.64.0.34:50300 - "GET /wp-admin/install.php?step=1 HTTP/1.1" 404 Not Found
2026-04-26T06:18:52.194809697Z [error] 2026-04-26 06:18:44,706 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/psi/scores "HTTP/1.1 200 "
2026-04-26T06:18:52.194810398Z [info] INFO:     100.64.0.46:22512 - "GET / HTTP/1.1" 200 OK
2026-04-26T06:18:52.194814735Z [error] 2026-04-26 06:18:42,401 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/scores params=None
2026-04-26T06:18:52.194818578Z [error] 2026-04-26 06:18:44,706 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/psi/scores 200 (6934 bytes)
2026-04-26T06:18:52.194820226Z [info] INFO:     100.64.0.42:41882 - "GET /favicon.ico HTTP/1.1" 404 Not Found
2026-04-26T06:18:52.194824491Z [error] 2026-04-26 06:18:44,707 INFO [basis_state] Returning 51 entities to client (caching)
2026-04-26T06:18:52.194826984Z [error] 2026-04-26 06:18:44,039 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/scores "HTTP/1.1 200 "
2026-04-26T06:18:52.194829995Z [error] 2026-04-26 06:18:44,707 INFO [basis_state] Computing 7d changes for 36 entities
2026-04-26T06:18:52.194834316Z [error] 2026-04-26 06:18:44,040 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/scores 200 (38128 bytes)
2026-04-26T06:18:52.194834904Z [error] 2026-04-26 06:18:44,707 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/reports/stablecoin/USDT params={'format': 'json'}
2026-04-26T06:18:52.194839128Z [error] 2026-04-26 06:18:44,040 INFO [basis_state.api_client] API request (attempt 1): GET https://basisprotocol.xyz/api/psi/scores params=None
2026-04-26T06:18:52.194841626Z [info] INFO:     100.64.0.43:45198 - "GET /api/entities HTTP/1.1" 200 OK
2026-04-26T06:18:52.194845337Z [info] INFO:     100.64.0.32:14342 - "GET /favicon.ico HTTP/1.1" 404 Not Found
2026-04-26T06:18:52.194848576Z [error] 2026-04-26 06:18:48,430 INFO [httpx] HTTP Request: GET https://basisprotocol.xyz/api/reports/stablecoin/USDT?format=json "HTTP/1.1 200 "
2026-04-26T06:18:52.195952888Z [error] 2026-04-26 06:18:48,430 INFO [basis_state.api_client] API response: https://basisprotocol.xyz/api/reports/stablecoin/USDT 200 (5109 bytes)
